,yaw,acc angle dot,gyro angle dot,acc angle cross,gyro angle cross,uva,uva cali,accdot deg,azimuth,azi deg
110,2.529897472,0.315404075,0.761312709,0.315404075,0.761312709,109,0.919,18.07132236,3.753287835,215.0475522
111,-2.04730649,1.926812644,0.952196625,1.21478001,0.952196625,61,0.4198,110.3982324,2.04730649,117.3020212
112,0.740610941,1.715180594,2.07741806,1.42641206,1.064174594,41,0.2118,98.27260914,5.542574366,317.5661188
113,-1.743829525,2.556055595,2.057792874,0.585537059,1.08379978,44,0.243,146.4511978,1.743829525,99.91407197
114,-2.013308733,1.904415606,2.027338691,1.237177048,1.114253963,133,1.1686,109.1149767,2.013308733,115.3540933
115,1.942703575,0.912970396,1.63669164,0.912970396,1.504901013,76,0.5758,52.30935052,4.340481732,248.6912843
116,-2.7677638,1.766227311,1.868248016,1.375365342,1.273344637,47,0.2742,101.1973706,2.7677638,158.5811844
117,-2.654628139,1.558209336,2.673295135,1.558209336,0.468297518,47,0.2742,89.27881854,2.654628139,152.0989886
118,-1.281573889,2.271156107,2.973232014,0.870436547,0.168360639,119,1.023,130.1276595,1.281573889,73.42877495
119,0.946389464,1.314136354,1.238178993,1.314136354,1.238178993,61,0.4198,75.29446681,5.336795843,305.7758779
120,2.841603324,0.961669453,2.850081134,0.961669453,0.29151152,47,0.2742,55.09960095,3.441581983,197.1881225
121,-0.393649302,1.911900869,2.811957324,1.229691785,0.32963533,96,0.7838,109.5438506,0.393649302,22.55444361
122,0.326271423,1.621071443,0.911574089,1.52052121,0.911574089,51,0.3158,92.88055198,5.956913885,341.3060245
123,2.481251762,0.890298299,2.463455381,0.890298299,0.678137273,48,0.2846,51.01033504,3.801933545,217.8347461
124,-2.162983734,1.896266274,2.654231724,1.245326379,0.487360929,48,0.2846,108.6480544,2.162983734,123.9298391
125,2.127675089,0.881798322,2.02452902,0.881798322,1.117063634,34,0.139,50.52332225,4.155510218,238.0931972
126,0.761099029,1.450453391,2.013029336,1.450453391,1.128563317,36,0.1598,83.10485768,5.522086278,316.3922379
127,-0.001625126,1.944704615,1.307875464,1.196888038,1.307875464,30,0.0974,111.4233669,0.001625126,0.09311285
128,-1.179616324,2.232085858,1.139885442,0.909506795,1.139885442,65,0.4614,127.8890992,1.179616324,67.58703682
129,-2.359567875,1.806762539,1.212262558,1.334830114,1.212262558,125,1.0854,103.5198681,2.359567875,135.1932807
130,2.984416459,1.196161343,1.308203117,1.196161343,1.308203117,66,0.4718,68.53499658,3.298768848,189.0055326
131,0.80454708,1.556979743,1.27706711,1.556979743,1.27706711,43,0.2326,89.20836809,5.478638227,313.9028479
